"name","publisher","uri"
"The Nugget Climbing Podcast","Steven Dimmitt","spotify:show:0lvih5I7kELNS2NCs2Ab7r"
"The Peter Attia Drive","Peter Attia, MD","spotify:show:63AWQmsSnFNFHUqnRAOFtD"
"The Pleasure Is Ours","iHeartPodcasts","spotify:show:1XEE9AySPdILfogOjUqfAI"
"The Ron Burgundy Podcast","Big Money Players Network and iHeartPodcasts","spotify:show:09dBWzzyHt3JyWj4IplSYH"
"The SaaS Podcast - SaaS, Startups, Growth Hacking & Entrepreneurship","Omer Khan","spotify:show:0P2LhE0GAWvIsY4ChsgblC"
"The Stack Overflow Podcast","The Stack Overflow Podcast","spotify:show:0e5eoM6w7eW9Wu7wMA04Tr"
"The Tee Off","Patty Robinson","spotify:show:5NUmJlG4Baa6gix2Nnhm9M"
"The TrainingBeta Podcast: A Climbing Training Podcast","Neely Quinn","spotify:show:7tx1NJfgmoHsUhY2tTIjd9"
"The Work Item - A Career Growth and Exploration Podcast","Den Delimarsky","spotify:show:2vbh70X0WTzwUFQJGkHGXC"
"This Past Weekend w/ Theo Von","Theo Von","spotify:show:6PwE1CIZsgfrhX6Bw96PUN"
"This Week in Startups","Jason Calacanis","spotify:show:6ULQ0ewYf5zmsDgBchlkr9"
"Thoughtworks Technology Podcast","Thoughtworks","spotify:show:6RBb4pGRgOFTmtCDSfTWvu"
"Web Rush","Dan Wahlin, John Papa, Ward Bell, Craig Shoemaker","spotify:show:2fpykNR5dya5c4V8WTPldw"
"Weekly Dev Tips","Steve Smith (@ardalis)","spotify:show:3XS4QdHgmvYpPyIYDFLeIR"
"balenaPodcast","balena","spotify:show:2uWPWIyRbk0OrYSDLmdVMw"
"eCrimeBytes.com","Keith Jones","spotify:show:2wjCEX9yBbjDdNszRk2Ctw"
